"BradleyFletcher","EU","Taxon","VernacularName","UtilityGroup","NaturalFamily","Posture","ForewingShape","ForewingLength","Texture","ForewingColour","Basal","Basal_Stigmata","Antemedian","Antemedian_Stigmata","Median","Median_Stigmata","Postmedian","Postmedian_Stigmata","Terminal","Terminal_Stigmata","Apical","Apical_Stigmata","Subapical","Subapical_Stigmata","Tornal","Tornal_Stigmata","Subtornal","Subtornal_Stigmata","Costal","Costal_Stigmata","Subcostal","Subcostal_Stigmata","Medial","Medial_Stigmata","Subdorsal","Subdorsal_Stigmata","Dorsal","Dorsal_Stigmata","OtherFeatures"
1061,,"Acleris literana",,"Micro","Tortricidae","Wings_flat","Narrow","[9-11]","Matte","Greys | Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1227,,"Pammene giganteana",,"Micro","Tortricidae","Wings_tentlike","Narrow |Very_narrow","[6.5-7.5]","Matte","Greys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1288,,"Alucita hexadactyla ","Twenty-plume Moth","Micro | Plume","Alucitidae","Wings_flat","Typical","[7.5-9]","Matte","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1344,,"Eudonia mercurella ",,"Micro","Pyralidae","Wings_flat","Narrow","[12-17]","Matte","Greys",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1428,,"Aphomia sociella ","Bee Moth","Micro","Pyralidae","Wings_flat | Wings_rolled","Narrow |Very_narrow","[12-17]","Matte","Greys | Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"#1479",,"1479 Plodia interpunctella Indian Meal Moth",,"Micro",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1497,,"Amblyptilia acanthadactyla ","Beautiful Plume","Micro | Plume","Pterophoridae","Wings_spread","Very_narrow","[9-11]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1498,,"Amblyptilia punctidactyla ","Brindled Plume","Micro | Plume","Pterophoridae","Wings_spread","Very_narrow","[9-11]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1524,,"Emmelina monodactyla ","Common Plume","Micro | Plume","Pterophoridae","Wings_spread","Very_narrow","[9-13]","Matte","Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1640,,"Euthrix potatoria","Drinker","Macro","Lasiocampidae","Wings_tentlike","Very_broad","[21-35]","Matte","Red | Red-Orange","None | Line","None","None","None","Line","None","Angled","None","None | Angled","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None",
1659,,"Achlya flavicornis","Yellow Horned","Macro | Flapper","Geometridae","Wings_tentlike","Typical | Narrow","[17-20]","Matte","Greys | Green","None|Line","None","Line","None","None","None","Line","None","None | Angled | Dots","None","None","Streak","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Orange antennae."
1661,,"Archiearis parthenias","Orange Underwing","Macro | Flapper","Geometridae","Wings_spread | Wings_flat","Typical","[16-19]","Matte","Red | Red-Orange","None | Line","None","None | Fascia","None","Fascia","None","Line | Fascia","None","None | Dots","None","None","Dot ","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","Day flying"
1663,,"Alsophila aescularia","March Moth","Macro | Flapper","Geometridae","Wings_tentlike | Wings_flat","Narrow | Very_narrow","[16-18]","Matte","Greys","None | Line","None","None | Line","None","None | Fascia","None","Line |Angled","None","None |Dots","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None","None",
1746,,"Anticlea badiata","Shoulder Stripe","Macro | Flapper","Geometridae","Wings_spread","Typical | Broad","[14-18]","Matte","Greys | Orange","Line | Fascia","None","Line | Fascia","None","Line | Fascia","None","Line | Fascia","None","Line | Fascia","None","None","Streak","None","None | Streak","None","None","None","None","None","None","None","None","None","None","None","None","None","None",
1750,,"Lampropteryx suffumata","Water Carpet","Macro | Flapper","Geometridae","Wings_spread","Typical","[14-17]","Matte","Greys | Orange","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Line | Fascia | Angled","None","None","Streak","None","None | Streak","Dots","Dot","Dots","Dot","None | Dots","None","None","None","None","None","None","None","None","None",
1760,,"Chloroclysta siterata","Red-green Carpet","Macro | Flapper","Geometridae","Wings_spread","Typical","[14-17]","Matte","Green | Yellow-Green","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Dots","None","None","Streak","None","None | Streak","Dots","Dot","None","None","None | Dots","None","None","None","None","None","None","None","None","None",
1764,,"Chloroclysta truncata-citrata ","Common-Dark Marbled Carpet agg.","Macro | Flapper","Geometridae","Wings_spread","Typical","[14-19]","Matte","Greys | Orange","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Line | Fascia | Angled","None","Line | Fascia | Angled","None","None","Streak","None","None | Streak","None","None","None","None","Dots","Dot","None","None","None","None","None","None","None","None",
1775,,"Colostygia multistrigaria","Mottled Grey","Macro | Flapper","Geometridae","Wings_spread","Typical | Narrow","[13-17]","Shiny","Greys","Fascia | Dots","None","Fascia | Dots","None","Fascia | Dots","None","Fascia | Dots","None","Line | Fascia | Angled | Dots","None","None","None","None","None","None","None","None","None","Dots","None","None","None","None","None","None","None","None","None",
"#1790",,"Triphosa dubitata ","Tissue","Macro | Flapper","Geometridae","Wings_spread","Typical  Broad","[19-22]","Shiny","Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,,"Eupithecia abbreviata","Brindled Pug","Macro | Flapper","Geometridae","Wings_spread","Typical | Narrow","[10-12]",,"Greys | Orange",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
